iter	MultiClass
0	1.040756837
1	0.9873764693
2	0.9421037203
3	0.9042339866
4	0.8722216525
5	0.8397609629
6	0.809917224
7	0.7871236755
8	0.7607686268
9	0.7394441226
10	0.7178935628
11	0.6990171391
12	0.6821446184
13	0.6666148902
14	0.6513740397
15	0.6366892607
16	0.6245670519
17	0.6109389348
18	0.6015831874
19	0.5903961158
20	0.5808321531
21	0.5702695944
22	0.5592358525
23	0.5517503115
24	0.542938516
25	0.5349806852
26	0.5278164156
27	0.5196579056
28	0.5130032722
29	0.5049773651
30	0.4991655706
31	0.4935636289
32	0.4872799011
33	0.4828293182
34	0.4786249368
35	0.4724525169
36	0.4671589421
37	0.4630970529
38	0.4570042357
39	0.4530286485
40	0.4470010213
41	0.443512812
42	0.4390201894
43	0.4346010518
44	0.4296788544
45	0.426220613
46	0.421762752
47	0.4182719664
48	0.4158281933
49	0.4115745066
50	0.4083732746
51	0.4061290185
52	0.4038091555
53	0.4012057426
54	0.3978129181
55	0.3934818919
56	0.390752862
57	0.3880878917
58	0.3845093231
59	0.3814431408
60	0.378847956
61	0.3760384405
62	0.3725559231
63	0.3696101508
64	0.3663460374
65	0.3644649189
66	0.3622919394
67	0.359869781
68	0.3578983639
69	0.355324659
70	0.3532164895
71	0.3500365346
72	0.3477856051
73	0.3460107662
74	0.3442882933
75	0.3424776301
76	0.3406822084
77	0.3384243377
78	0.3358309526
79	0.3349714335
80	0.3327128564
81	0.3317193145
82	0.3298910343
83	0.3277759444
84	0.3264401009
85	0.3237657166
86	0.3223642947
87	0.3204983749
88	0.3187450826
89	0.3175856827
90	0.3161475288
91	0.3142840989
92	0.3133483857
93	0.3120308367
94	0.3104227398
95	0.3089663409
96	0.3076625355
97	0.3055971596
98	0.3036725256
99	0.3023051833
100	0.2999609769
101	0.2983705232
102	0.2967591379
103	0.2951131179
104	0.2939676989
105	0.292383035
106	0.2906887214
107	0.2891506623
108	0.2883622649
109	0.2863913286
110	0.2854136973
111	0.2840144015
112	0.2821174214
113	0.2816453084
114	0.2804894912
115	0.2789204744
116	0.2772630249
117	0.2760282641
118	0.2747179169
119	0.2737698483
120	0.2726158945
121	0.2717708442
122	0.2709026268
123	0.2697441758
124	0.2684432791
125	0.2671144652
126	0.2662466403
127	0.2654751723
128	0.2646165964
129	0.2636911205
130	0.2624845736
131	0.2615167396
132	0.2607706358
133	0.2599992222
134	0.2590452754
135	0.2583463292
136	0.2574474956
137	0.2564202365
138	0.2555698677
