iter	Passed	Remaining
0	58	58724
1	59	29774
2	60	20100
3	61	15256
4	62	12354
5	62	10406
6	63	9022
7	64	8020
8	65	7199
9	66	6539
10	66	6000
11	67	5556
12	68	5185
13	68	4856
14	69	4581
15	70	4336
16	71	4121
17	72	3937
18	73	3792
19	74	3640
20	75	3499
21	75	3372
22	76	3254
23	77	3147
24	78	3058
25	79	2968
26	80	2885
27	80	2810
28	81	2737
29	82	2669
30	83	2605
31	84	2546
32	84	2488
33	85	2435
34	86	2384
35	87	2340
36	88	2297
37	89	2256
38	89	2215
39	90	2176
40	91	2139
41	92	2111
42	93	2086
43	94	2059
44	95	2028
45	96	1997
46	97	1970
47	97	1941
48	98	1916
49	99	1887
50	100	1860
51	100	1836
52	101	1818
53	102	1802
54	103	1781
55	104	1763
56	105	1742
57	106	1721
58	106	1700
59	107	1680
60	107	1662
61	108	1644
62	109	1628
63	110	1610
64	110	1595
65	111	1578
66	112	1564
67	112	1547
68	113	1532
69	114	1516
70	114	1501
71	115	1487
72	115	1472
73	116	1458
74	117	1445
75	117	1432
76	118	1419
77	119	1406
78	119	1394
79	120	1383
80	121	1373
81	121	1363
82	122	1352
83	123	1342
84	123	1333
85	124	1323
86	125	1313
87	125	1305
88	126	1296
89	127	1290
90	128	1281
91	128	1272
92	129	1264
93	130	1257
94	131	1249
95	131	1241
96	132	1233
97	133	1226
98	133	1218
99	134	1211
100	135	1203
101	135	1196
102	136	1190
103	137	1184
104	138	1177
105	138	1171
106	139	1165
107	140	1160
108	141	1155
109	142	1149
110	142	1143
111	143	1137
112	144	1131
113	145	1129
114	146	1124
115	146	1118
116	147	1113
117	148	1107
118	148	1101
119	149	1095
120	150	1090
121	150	1084
122	151	1079
123	151	1073
124	152	1068
125	153	1063
126	154	1059
127	154	1054
128	155	1049
129	156	1045
130	157	1043
131	157	1038
132	158	1035
133	159	1031
134	160	1026
135	160	1022
136	161	1018
137	162	1016
138	163	1013
139	164	1009
140	164	1004
141	165	1000
142	166	996
143	166	992
144	167	987
145	168	983
146	168	980
147	169	976
148	170	973
149	171	969
150	171	965
151	172	962
152	173	959
153	174	956
154	174	952
155	175	949
156	176	946
157	176	943
158	177	939
159	178	936
160	179	933
161	179	930
162	180	926
163	181	923
164	181	919
165	182	916
166	183	912
167	183	909
168	184	906
169	185	903
170	185	900
171	186	897
172	187	894
173	187	891
174	188	889
175	189	887
176	190	884
177	191	882
178	191	880
179	192	877
180	193	875
181	194	872
182	194	869
183	195	867
184	196	866
185	197	863
186	197	860
187	198	857
188	199	854
189	200	852
190	201	854
191	202	852
192	203	850
193	204	848
194	204	845
195	205	844
196	206	842
197	207	842
198	209	844
199	210	842
200	211	841
201	212	840
202	213	839
203	214	838
204	215	836
205	216	834
206	217	831
207	217	829
208	218	826
209	219	824
210	219	821
211	220	819
212	221	817
213	221	814
214	222	812
215	223	811
216	224	809
217	225	807
218	225	805
219	226	802
220	227	800
221	227	798
222	228	796
223	229	793
224	229	791
225	230	789
226	231	787
227	231	784
228	232	783
229	233	781
230	234	779
231	235	778
232	235	776
233	236	774
234	237	773
235	238	770
236	238	768
237	239	767
238	240	766
239	241	764
240	242	762
241	243	761
242	243	759
243	244	757
244	245	756
245	246	755
246	247	753
247	247	751
248	248	749
249	249	747
250	250	746
251	250	744
252	251	742
253	252	740
254	252	738
255	253	736
256	254	734
257	254	732
258	255	730
259	256	728
260	256	726
261	257	725
262	258	723
263	258	721
264	259	719
265	260	717
266	260	716
267	261	714
268	262	712
269	262	710
270	263	708
271	264	706
272	264	705
273	265	703
274	266	701
275	267	700
276	267	698
277	268	697
278	269	695
279	269	694
280	270	692
281	271	690
282	272	689
283	272	687
284	273	686
285	274	684
286	274	682
287	275	680
288	276	679
289	276	677
290	277	676
291	278	674
292	278	672
293	279	671
294	280	669
295	280	667
296	281	666
297	282	664
298	282	663
299	283	661
300	284	660
301	285	659
302	286	658
303	286	656
304	287	655
305	288	654
306	289	652
307	289	651
308	290	649
309	291	648
310	291	646
311	292	644
312	293	643
313	293	641
314	294	640
315	295	638
316	295	637
317	296	635
318	297	634
319	297	633
320	298	631
321	299	630
322	299	628
323	300	627
324	301	625
325	301	624
326	302	622
327	303	621
328	304	620
329	305	619
330	305	617
331	306	616
332	307	615
333	307	613
334	308	612
335	309	610
336	309	609
337	310	607
338	310	606
339	311	604
340	312	603
341	312	602
342	313	601
343	314	599
344	315	598
345	315	597
346	316	595
347	317	594
348	318	593
349	318	592
350	320	591
351	320	590
352	321	589
353	322	587
354	322	586
355	323	585
356	324	583
357	324	582
358	325	581
359	326	580
360	326	578
361	327	577
362	328	576
363	328	574
364	329	573
365	330	572
366	331	571
367	332	570
368	332	569
369	333	568
370	334	567
371	335	566
372	336	565
373	337	564
374	337	563
375	338	562
376	339	560
377	340	559
378	340	558
379	341	556
380	341	555
381	342	554
382	343	552
383	343	551
384	344	550
385	345	549
386	346	548
387	346	547
388	347	545
389	348	544
